Date (DD/MM/YYYY),Broker,Buy Value ($),Sell Value ($),Net Value ($),Total Value ($),Buy Volume,Sell Volume,Net Volume,Total Volume,Buy Trade Count,Sell Trade Count,Total Trade Count,Buy Price,Sell Price,Rank
1/6/2021,CMC Mkts,0,4200,-4200,4200,0,350000,-350000,350000,0,1,1,0,1.2,43.17
1/6/2021,Commonwealth,4809.631,0,4809.631,4809.631,405421,0,405421,405421,18,0,18,1.186330013,0,50
1/6/2021,Macquarie Insto,0,609.631,-609.631,609.631,0,55421,-55421,55421,0,17,17,0,1.1,6.83
1/6/2021,Total,4809.631,4809.631,0,9619.262,405421,405421,0,810842,18,18,36,1.186330013,1.186330013,100
2/6/2021,AIEX,48000,5170,42830,53170,4000000,410000,3590000,4410000,9,2,11,1.2,1.26097561,12.28
2/6/2021,Barclays Investment Bank,8241.047,18672.704,-10431.657,26913.751,641619,1413544,-771925,2055163,10,16,26,1.284414427,1.320984985,5.72
2/6/2021,Bell Potter,10478.244,22909.377,-12431.133,33387.621,873187,1849669,-976482,2722856,2,6,8,1.2,1.238566306,7.58
2/6/2021,CMC Markets,5738.0225,14757.652,-9019.6295,20495.6745,452380,1146471,-694091,1598851,5,3,8,1.268407644,1.287224186,4.45
2/6/2021,CMC Mkts,0,1415.323,-1415.323,1415.323,0,108871,-108871,108871,0,2,2,0,1.3,0.3
2/6/2021,Commonwealth,55818.885,112394.325,-56575.44,168213.21,4335970,8508566,-4172596,12844536,29,34,63,1.287344816,1.320954965,35.75
2/6/2021,Credit Suisse,3148.054,1916.776,1231.278,5064.83,242158,151398,90760,393556,4,3,7,1.3,1.266051071,1.1
2/6/2021,IBA,671.216,6500,-5828.784,7171.216,51632,500000,-448368,551632,3,2,5,1.3,1.3,1.54
2/6/2021,Merrill Lynch,4628.028,3570.8625,1057.1655,8198.8905,385669,285669,100000,671338,3,1,4,1.2,1.25,1.87
2/6/2021,Morgans,2990,0,2990,2990,230000,0,230000,230000,1,0,1,1.3,0,0.64
2/6/2021,OpenMarkets,1543.752,12036.623,-10492.871,13580.375,128646,944664,-816018,1073310,1,9,10,1.2,1.274169758,2.99
2/6/2021,Pershing,0,11387.34,-11387.34,11387.34,0,948945,-948945,948945,0,1,1,0,1.2,2.64
2/6/2021,State One Stock,5572.398,0,5572.398,5572.398,428646,0,428646,428646,2,0,2,1.3,0,1.19
